Ticker,Name,Sector,Industry,MarketCap,PreviousClose,Status
BSIM,Bank Sinarmas Tbk.,Financial Services,Banks - Regional,17054479417344,875.0,Success
BSSR,Baramulti Suksessarana Tbk.,Energy,Thermal Coal,10439834468352,4010.0,Success
BTEL,"BTEL.JK,0P0000BGUU,0",N/A,N/A,0,0,Success
BTEK,Bumi Teknokultura Unggul Tbk,Consumer Defensive,Farm Products,601607438336,13.0,Success
BTON,Betonjaya Manunggal Tbk,Basic Materials,Steel,277919989760,368.0,Success
BUKK,Bukaka Teknik Utama Tbk.,Industrials,Engineering & Construction,3432587722752,1230.0,Success
BULL,Buana Lintas Lautan Tbk.,Industrials,Marine Shipping,7824690642944,535.0,Success
BTPN,Bank SMBC Indonesia Tbk.,Financial Services,Banks - Regional,21025741864960,1965.0,Success
BUVA,Bukit Uluwatu Villa Tbk.,Consumer Cyclical,Lodging,24986309885952,1075.0,Success
BUDI,Budi Starch & Sweetener Tbk.,Consumer Defensive,Packaged Foods,943168159744,210.0,Success
BWPT,Eagle High Plantations Tbk.,Consumer Defensive,Packaged Foods,4139274993664,135.0,Success
BUMI,Bumi Resources Tbk,Energy,Thermal Coal,82436461428736,230.0,Success
BVIC,Bank Victoria International Tbk,Financial Services,Banks - Regional,1878780805120,106.0,Success
CASS,Cahaya Aero Services Tbk.,Industrials,Airports & Air Services,3756510150656,1825.0,Success
BYAN,Bayan Resources Tbk,Energy,Thermal Coal,380833340850176,11500.0,Success
CFIN,Clipan Finance Indonesia Tbk,Financial Services,Credit Services,1330829852672,344.0,Success
CINT,Chitose Internasional Tbk.,Consumer Cyclical,"Furnishings, Fixtures & Appliances",217999998976,218.0,Success
CENT,Centratama Telekomunikasi Indon,Communication Services,Telecom Services,3087162933248,103.0,Success
CANI,Capitol Nusantara Indonesia Tbk,Industrials,Marine Shipping,117515042816,156.0,Success
CEKA,Wilmar Cahaya Indonesia Tbk.,Consumer Defensive,Packaged Foods,1398250012672,2350.0,Success
CITA,Cita Mineral Investindo Tbk,Basic Materials,Other Industrial Metals & Mining,14653336846336,4140.0,Success
CLPI,Colorpak Indonesia Tbk,Basic Materials,Specialty Chemicals,508027043840,1680.0,Success
CNTX,Century Textile Industry Tbk.,Consumer Cyclical,Textile Manufacturing,28400001024,142.0,Success
CMPP,AirAsia Indonesia Tbk.,Industrials,Airlines,854809968640,81.0,Success
CNKO,Exploitasi Energi Indonesia Tbk,Energy,Thermal Coal,501556183040,59.0,Success
CMNP,Citra Marga Nusaphala Persada T,Industrials,Infrastructure Operations,10312385298432,1565.0,Success
CPRO,Central Proteina Prima Tbk.,Consumer Defensive,Farm Products,3395625943040,59.0,Success
COWL,"COWL.JK,0P0000D53W,0",N/A,N/A,0,0,Success
CSAP,Catur Sentosa Adiprana Tbk.,Industrials,Industrial Distribution,1614021656576,288.0,Success
CTRA,Ciputra Development Tbk,Real Estate,Real Estate - Development,12882307710976,720.0,Success
DEWA,Darma Henwa Tbk,Energy,Thermal Coal,19285843902464,500.0,Success
CPIN,Charoen Pokphand Indonesia Tbk,Consumer Defensive,Farm Products,65428021837824,4110.0,Success
CTBN,Citra Tubindo Tbk,Energy,Oil & Gas Equipment & Services,4322006138880,5650.0,Success
DGIK,Nusa Konstruksi Enjiniring Tbk.,Industrials,Engineering & Construction,704310214656,140.0,Success
DILD,Intiland Development Tbk,Real Estate,Real Estate - Development,1337195102208,133.0,Success
CTTH,Citatah Tbk.,Basic Materials,Building Materials,176010100736,148.0,Success
DKFT,Central Omega Resources Tbk.,Basic Materials,Other Industrial Metals & Mining,4603760869376,835.0,Success
DEFI,Danasupra Erapacific Tbk.,Financial Services,Credit Services,105456001024,166.0,Success
DART,Duta Anggada Realty Tbk.,Real Estate,Real Estate Services,502622519296,161.0,Success
DLTA,Delta Djakarta Tbk,Consumer Defensive,Beverages - Brewers,1585304961024,1995.0,Success
DMAS,Puradelta Lestari Tbk.,Real Estate,Real Estate - Development,6554943225856,137.0,Success
DNAR,Bank Oke Indonesia Tbk.,Financial Services,Banks - Regional,2415611871232,146.0,Success
DOID,BUMA Internasional Grup Tbk.,Energy,Thermal Coal,1824578076672,254.0,Success
DNET,Indoritel Makmur Internasional ,Communication Services,Telecom Services,134038798991360,9400.0,Success
DSFI,Dharma Samudera Fishing Industr,Consumer Defensive,Farm Products,183856414720,98.0,Success
DSNG,Dharma Satya Nusantara Tbk.,Consumer Defensive,Farm Products,18814720802816,1850.0,Success
DSSA,Dian Swastatika Sentosa Tbk,Energy,Thermal Coal,237513805398016,1720.0,Success
DYAN,Dyandra Media International Tbk,Communication Services,Entertainment,358929006592,87.0,Success
DUTI,Duta Pertiwi Tbk,Real Estate,Real Estate - Development,7770000064512,4090.0,Success
DVLA,Darya-Varia Laboratoria Tbk,Healthcare,Drug Manufacturers - Specialty & Generic,1792000000000,1605.0,Success
ELTY,Bakrieland Development Tbk,Real Estate,Real Estate Services,1784398479360,45.0,Success
EMDE,Megapolitan Developments Tbk.,Real Estate,Real Estate Services,264650014720,82.0,Success
DPNS,Duta Pertiwi Nusantara Tbk,Basic Materials,Specialty Chemicals,102650281984,310.0,Success
ENRG,Energi Mega Persada Tbk,Energy,Oil & Gas E&P,43471280799744,1720.0,Success
ELSA,Elnusa Tbk,Energy,Oil & Gas Equipment & Services,5765815336960,830.0,Success
ECII,Electronic City Indonesia Tbk.,Consumer Cyclical,Specialty Retail,211389431808,174.0,Success
EPMT,Enseval Putera Megatrading Tbk,Healthcare,Medical Distribution,6365304061952,2370.0,Success
EKAD,Ekadharma International Tbk,Basic Materials,Specialty Chemicals,628897480704,181.0,Success
EMTK,Elang Mahkota Teknologi Tbk,Communication Services,Broadcasting,49251916709888,815.0,Success
ERAA,Erajaya Swasembada Tbk.,Consumer Cyclical,Specialty Retail,6408094875648,416.0,Success
ERTX,Eratex Djaja Tbk,Consumer Cyclical,Apparel Manufacturing,259881041920,206.0,Success
ESTI,Ever Shine Tex Tbk.,Consumer Cyclical,Textile Manufacturing,332509446144,171.0,Success
ESSA,ESSA Industries Indonesia Tbk.,Basic Materials,Chemicals,14729063956480,955.0,Success
ETWA,"ETWA.JK,0P0000AV1H,0",N/A,N/A,326806994944,0,Success
EXCL,XLSMART Telecom Sejahtera Tbk.,Communication Services,Telecom Services,53871594438656,3000.0,Success
FISH,FKS Multi Agro Tbk,Consumer Defensive,Farm Products,4031999901696,800.0,Success
FAST,Fast Food Indonesia Tbk,Consumer Cyclical,Restaurants,1301875916800,298.0,Success
FPNI,Lotte Chemical Titan Tbk.,Basic Materials,Specialty Chemicals,2694144327680,520.0,Success
